"ID","indicator_id","indicator_name_aff","indicator_name","indicator_function","indicator_parameters","indicator_strategies","indicator_default_para"
"[301386,502700413]",141,"Piercing Pattern","CDLPIERCING",124,"{""parameters_id"":[]}","null","null"
"[301386,502700414]",142,"Rickshaw Man","CDLRICKSHAWMAN",125,"{""parameters_id"":[]}","null","null"
"[301386,502700415]",143,"Rising/Falling Three Methods","CDLRISEFALL3METHODS",126,"{""parameters_id"":[]}","null","null"
"[301386,502700416]",144,"Separating Lines","CDLSEPARATINGLINES",127,"{""parameters_id"":[]}","null","null"
"[301386,502700417]",145,"Shooting Star","CDLSHOOTINGSTAR",128,"{""parameters_id"":[]}","null","null"
"[301386,502700418]",146,"Short Line Candle","CDLSHORTLINE",129,"{""parameters_id"":[]}","null","null"
"[301386,502700419]",147,"Spinning Top","CDLSPINNINGTOP",130,"{""parameters_id"":[]}","null","null"
"[301386,502700420]",148,"Stalled Pattern","CDLSTALLEDPATTERN",131,"{""parameters_id"":[]}","null","null"
"[301386,502700421]",149,"Stick Sandwich","CDLSTICKSANDWICH",132,"{""parameters_id"":[]}","null","null"
"[301386,502700422]",150,"Takuri (Dragonfly Doji with very long lower shadow)","CDLTAKURI",133,"{""parameters_id"":[]}","null","null"
"[301386,502700423]",151,"Tasuki Gap","CDLTASUKIGAP",134,"{""parameters_id"":[]}","null","null"
"[301386,502700424]",152,"Thrusting Pattern","CDLTHRUSTING",135,"{""parameters_id"":[]}","null","null"
"[301386,502700425]",153,"Tristar Pattern","CDLTRISTAR",136,"{""parameters_id"":[]}","null","null"
"[301386,502700426]",154,"Unique 3 River","CDLUNIQUE3RIVER",137,"{""parameters_id"":[]}","null","null"
"[301386,502700427]",155,"Upside Gap Two Crows","CDLUPSIDEGAP2CROWS",138,"{""parameters_id"":[]}","null","null"
"[301386,502700428]",156,"Upside/Downside Gap Three Methods","CDLXSIDEGAP3METHODS",139,"{""parameters_id"":[]}","null","null"
